"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Regulation Of Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0010880)","5/22",2.04512996414782e-05,0.00710931582629794,0,0,18.538838612368,200.172444842591,"CASQ2;DMD;CALM2;SLC8A1;TRDN"
"2","Neuron Differentiation (GO:0030182)","12/173",2.13280042181287e-05,0.00710931582629794,0,0,4.77067508400367,51.3109462354936,"IRX2;NTRK2;TGFB2;SALL1;ID2;LHX1;HAND2;WNT5A;DDIT4;PAX6;DMD;ASCL1"
"3","Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)","18/364",2.25400813930388e-05,0.00710931582629794,0,0,3.3644518336652,36.0003594520362,"OSR2;NTRK2;FOXD1;DTX3L;ANGPT1;WNT5A;PAX6;ANK3;CLU;ACTG2;TTN;NFKBIA;ACTA2;CLDN5;RGCC;ID2;HAND2;FGF18"
"4","Regulation Of Angiogenesis (GO:0045765)","13/205",2.52148317185024e-05,0.00710931582629794,0,0,4.34112870065789,45.9642100560432,"SP100;TGFB2;ANXA3;WNT5A;EMP2;VEGFD;THBS1;RHOB;CLDN5;CXCL10;RGCC;RHOJ;FGF18"
"5","Axon Guidance (GO:0007411)","11/149",2.64065556534874e-05,0.00710931582629794,0,0,5.0912901392441,53.6718626520618,"ROBO3;UNC5B;DCC;LHX1;WNT5A;NRXN3;SLIT1;CNTN2;UNC5C;EFNA5;EPHB1"
"6","Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046)","4/12",2.77250196842715e-05,0.00710931582629794,0,0,31.4297124600639,329.797482935487,"LAMA2;EMP2;LAMB1;NID1"
"7","Regulation Of Cell Communication By Electrical Coupling (GO:0010649)","4/12",2.77250196842715e-05,0.00710931582629794,0,0,31.4297124600639,329.797482935487,"CASQ2;CALM2;SLC8A1;TRDN"
"8","Positive Regulation Of Cellular Process (GO:0048522)","24/594",2.90403054284645e-05,0.00710931582629794,0,0,2.74661397521107,28.6933978777275,"OSR2;TFAP2B;NTRK2;TGFB2;PRKAA2;CAVIN1;LAMA2;SPAG5;EMP2;VEGFD;TTK;LAMB1;REG3G;NID1;DUSP26;THBS1;CLDN5;SAPCD2;MYL1;FGF18;S100A13;HAS2;CD47;IL6ST"
"9","Regulation Of Muscle Cell Differentiation (GO:0051147)","5/24",3.21614685829516e-05,0.00710931582629794,0,0,16.5856950067476,171.574726610099,"LAMA2;ID2;LAMB1;NID1;HDAC9"
"10","Regulation Of Cell Population Proliferation (GO:0042127)","28/766",3.79718540304386e-05,0.00710931582629794,0,0,2.48712971558781,25.3156610721529,"CXCL1;TTK;REG3G;CLU;THBS1;NUAK1;FRZB;S100A13;TSPO;HAS2;SOX7;OSR2;TFAP2B;NTRK2;TGFB2;EMP2;VEGFD;CDC6;CLDN5;CXCL10;FABP3;CDK6;RGCC;SAPCD2;ID2;FGF18;CD47;IL6ST"
"11","Regulation Of Basement Membrane Organization (GO:0110011)","3/5",3.85233862508756e-05,0.00710931582629794,0,0,94.0175159235669,955.617072343397,"LAMA2;LAMB1;NID1"
"12","Response To Calcium Ion (GO:0051592)","9/106",4.81367365800473e-05,0.00814313127145799,0,0,5.90018744142455,58.6565064591452,"SYT4;PRKAA2;SYT1;WNT5A;CASQ2;CLU;CALM2;THBS1;TTN"
"13","Apoptotic Process (GO:0006915)","13/228",7.5600539772864e-05,0.0113142207411036,0,0,3.87215422276622,36.7469260878532,"IFI6;PAX3;CXCR4;EMP2;EFNA5;RHOB;NFKBIA;DDIT4;PMP22;PMAIP1;NLRP1;TNFRSF21;IER3"
"14","Regulation Of Endothelial Cell Migration (GO:0010594)","8/88",7.80291085593349e-05,0.0113142207411036,0,0,6.34401294498382,60.0043935679018,"SP100;ANGPT1;ANXA3;WNT5A;RHOJ;EMP2;THBS1;RHOB"
"15","Regulation Of Cardiac Muscle Contraction By Regulation Of The Release Of Sequestered Calcium Ion (GO:0010881)","4/16",9.69516369289982e-05,0.0115521888626263,0,0,20.9488817891374,193.59486550058,"CASQ2;DMD;CALM2;SLC8A1"
"16","Positive Regulation Of Cell Population Proliferation (GO:0008284)","20/483",9.70678466643937e-05,0.0115521888626263,0,0,2.79541273061791,25.8298942171463,"OSR2;TFAP2B;NTRK2;TGFB2;WNT5A;EMP2;VEGFD;TTK;LAMB1;REG3G;THBS1;CLDN5;CDK6;SAPCD2;ID2;FGF18;S100A13;HAS2;CD47;IL6ST"
"17","Regulation Of Epithelial Cell Proliferation (GO:0050678)","8/91",9.90254872050078e-05,0.0115521888626263,0,0,6.11377549031076,56.3698249529951,"CDKN1C;OSR2;TGFB2;CDK6;ANGPT1;MARVELD3;FGF18;LAMB1"
"18","Regulation Of Cell Adhesion (GO:0030155)","10/144",0.000102433201737573,0.0115521888626263,0,0,4.75205406193787,43.6537926239047,"NUAK1;LAMA2;ANGPT1;DUSP1;DACT2;CXCR4;LAMB1;EFNA5;NID1;DUSP26"
"19","Neurogenesis (GO:0022008)","6/49",0.000119151595764369,0.0127304073369299,0,0,8.81178493980408,79.6154811362969,"TGFB2;CDK6;LPAR1;CXCR4;ASCL1;EPHB1"
"20","Neuron Projection Guidance (GO:0097485)","9/124",0.000162271423109399,0.016470549445604,0,0,4.97210615471485,43.3877924738912,"ROBO3;DCC;WNT5A;NRXN3;SLIT1;CNTN2;UNC5C;EFNA5;EPHB1"
"21","Positive Regulation Of Neuron Death (GO:1901216)","5/34",0.00018491828759774,0.0178754344677816,0,0,10.8609637488948,93.3564621942883,"PRNP;TFAP2B;TGFB2;WNT5A;CLU"
"22","Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044)","4/19",0.000198864968552057,0.0183498130073035,0,0,16.7565495207668,142.814136411055,"LAMA2;EMP2;LAMB1;NID1"
"23","Axonogenesis (GO:0007409)","11/188",0.000214036954174469,0.0188910876945292,0,0,3.961559765149,33.4726520443605,"ROBO3;DCC;WNT5A;NRXN3;SLIT1;SLITRK6;CNTN2;UNC5C;ANK3;EFNA5;EPHB1"
"24","Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882)","4/20",0.000245491993574334,0.0207645311231624,0,0,15.7084664536741,130.572640964279,"CASQ2;DMD;CALM2;SLC8A1"
"25","Positive Regulation Of Gene Expression (GO:0010628)","19/480",0.000256379212111817,0.0208179920234796,0,0,2.65848971451033,21.9826604179132,"OSR2;NTRK2;FOXD1;ANGPT1;WNT5A;PAX6;ANK3;CLU;THBS1;ACTG2;TTN;ACTA2;CLDN5;RGCC;ID2;HAND2;FGF18;S100A13;VIM"
"26","Regulation Of Neuron Apoptotic Process (GO:0043523)","8/105",0.000268374533798237,0.0209074259780693,0,0,5.22763820772028,42.9875330954651,"PRNP;TFAP2B;NTRK2;TGFB2;UNC5B;CCL2;IL6ST;CLU"
"27","Striated Muscle Contraction (GO:0006941)","6/57",0.000278079064732941,0.0209074259780693,0,0,7.42651787403064,60.805395466146,"TNNT3;CASQ2;TNNI2;DMD;SLC8A1;TTN"
"28","Cellular Response To Purine-Containing Compound (GO:0071415)","3/9",0.000308664393764158,0.0216065075634911,0,0,31.3328025477707,253.271063427451,"CASQ2;CLU;SLC8A1"
"29","Sequestering Of Extracellular Ligand From Receptor (GO:0035581)","3/9",0.000308664393764158,0.0216065075634911,0,0,31.3328025477707,253.271063427451,"GREM2;LTBP1;FBN1"
"30","Protein Localization To Condensed Chromosome (GO:1903083)","3/10",0.000435780962039181,0.0294878450979846,0,0,26.8553230209281,207.816448066967,"CDK1;TTK;KNL1"
"31","Heart Contraction (GO:0060047)","5/41",0.000454894126403397,0.0297882282773838,0,0,8.74599358974359,67.3043201207861,"CASQ2;DMD;SLC8A1;TTN;TRDN"
"32","Positive Regulation Of Cell Adhesion (GO:0045785)","7/88",0.000498278804566858,0.0315064358066195,0,0,5.46451612903226,41.5540975376841,"TGFB2;LAMA2;LAMB1;CD47;DUSP26;NID1;FBLN2"
"33","Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060314)","4/24",0.000512173587004159,0.0315064358066195,0,0,12.5642172523962,95.1971512090071,"CASQ2;DMD;CALM2;TRDN"
"34","Negative Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070885)","3/11",0.000592181074238101,0.0316349363342986,0,0,23.4972133757962,174.624196028469,"PRNP;RCAN1;FHL2"
"35","Negative Regulation Of Calcineurin-Mediated Signaling (GO:0106057)","3/11",0.000592181074238101,0.0316349363342986,0,0,23.4972133757962,174.624196028469,"PRNP;RCAN1;FHL2"
"36","Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051280)","3/11",0.000592181074238101,0.0316349363342986,0,0,23.4972133757962,174.624196028469,"CASQ2;CALM2;TRDN"
"37","Negative Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060315)","3/11",0.000592181074238101,0.0316349363342986,0,0,23.4972133757962,174.624196028469,"CASQ2;CALM2;TRDN"
"38","Protein Localization To Kinetochore (GO:0034501)","3/11",0.000592181074238101,0.0316349363342986,0,0,23.4972133757962,174.624196028469,"CDK1;TTK;KNL1"
"39","Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536)","5/46",0.000780049946598678,0.0381590592918207,0,0,7.67745465916198,54.9410371683736,"ANGPT1;FGF18;RHOJ;HDAC9;THBS1"
"40","Detection Of Calcium Ion (GO:0005513)","3/12",0.000780334291791132,0.0381590592918207,0,0,20.8853503184713,149.451142335792,"SYT1;CASQ2;CALM2"
"41","Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651)","3/12",0.000780334291791132,0.0381590592918207,0,0,20.8853503184713,149.451142335792,"DMD;GLRX;ANK3"
"42","Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)","7/95",0.000789497778451463,0.0381590592918207,0,0,5.02804252199414,35.920906651723,"CDKN1C;GDF10;TGFB2;DAB2;FOXD1;TTK;THBS1"
"43","Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)","6/70",0.000846084922806088,0.0399430789138688,0,0,5.91408762057878,41.8415242263221,"CDKN1C;TGFB2;CDK6;RGCC;MARVELD3;THBS1"
"44","Kidney Development (GO:0001822)","6/71",0.000912071368847661,0.0413473120430765,0,0,5.82280484788523,40.7584246296769,"OSR2;TFAP2B;TGFB2;SALL1;LHX1;HAS2"
"45","Regulation Of Apoptotic Process (GO:0042981)","23/705",0.000916566030511547,0.0413473120430765,0,0,2.17957886967104,15.2458848996121,"TFAP2B;PRKAA2;ANGPT1;WNT5A;IFI6;HTRA1;FHL2;ASCL1;CLU;THBS1;DUSP6;RHOB;CXCL10;DAB2;FRZB;ANKRD1;CDK1;GAS1;PMAIP1;IL6ST;SQSTM1;IER3;CTSB"
"46","Response To Steroid Hormone (GO:0048545)","4/29",0.00107565330649774,0.0454911710873004,0,0,10.0488178913738,68.6819325958982,"TGFB2;ATP1A3;NR3C1;THBS1"
"47","Sarcomere Organization (GO:0045214)","4/29",0.00107565330649774,0.0454911710873004,0,0,10.0488178913738,68.6819325958982,"CSRP1;TNNT3;ANKRD1;TTN"
"48","Maintenance Of Blood-Brain Barrier (GO:0035633)","4/29",0.00107565330649774,0.0454911710873004,0,0,10.0488178913738,68.6819325958982,"CLDN5;LAMA2;DMD;VCL"
"49","Positive Regulation Of Cell Communication (GO:0010647)","4/30",0.00122579371261359,0.0492310022186985,0,0,9.66183337429344,64.7745417247943,"SYT1;NMU;ANK3;WLS"
"50","Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)","5/51",0.00125336026504403,0.0492310022186985,0,0,6.84120680044593,45.7124452699309,"CXCL10;CASQ2;DMD;CALM2;TRDN"
"51","Response To Muscle Stretch (GO:0035994)","3/14",0.00126108971200607,0.0492310022186985,0,0,17.0862767805443,114.064209103533,"DMD;SLC8A1;TTN"
"52","Endoderm Development (GO:0007492)","3/14",0.00126108971200607,0.0492310022186985,0,0,17.0862767805443,114.064209103533,"DUSP1;LHX1;SOX7"
"53","Positive Regulation Of Vasculature Development (GO:1904018)","7/104",0.00134528545261826,0.0505721621393151,0,0,4.55942800133023,30.1430581269696,"ANXA3;WNT5A;FGF18;EMP2;VEGFD;THBS1;RHOB"
"54","Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902041)","4/31",0.00139000179993297,0.0505721621393151,0,0,9.30351437699681,61.2027063575857,"SP100;PEA15;PMAIP1;THBS1"
"55","Central Nervous System Neuron Differentiation (GO:0021953)","4/31",0.00139000179993297,0.0505721621393151,0,0,9.30351437699681,61.2027063575857,"NTRK2;NPY;LHX1;CBLN1"
"56","Neutrophil Migration (GO:1990266)","6/77",0.00139509412798111,0.0505721621393151,0,0,5.32910647162719,35.0377740081503,"CXCL10;TGFB2;CCL2;CXCL1;EMP2;CXCL2"
"57","Negative Regulation Of Protein Processing (GO:0010955)","3/15",0.00155795606907042,0.0536042511900499,0,0,15.6616242038217,101.242698554657,"PRNP;GAS1;THBS1"
"58","Positive Regulation Of Endothelial Cell Apoptotic Process (GO:2000353)","3/15",0.00155795606907042,0.0536042511900499,0,0,15.6616242038217,101.242698554657,"RGCC;CCL2;THBS1"
"59","Positive Regulation Of Muscle Cell Differentiation (GO:0051149)","3/15",0.00155795606907042,0.0536042511900499,0,0,15.6616242038217,101.242698554657,"LAMA2;LAMB1;NID1"
"60","Generation Of Neurons (GO:0048699)","9/172",0.00173672563582978,0.0577346265406289,0,0,3.49932276312644,22.2408337990087,"IRX2;NTRK2;TGFB2;CDK6;DCC;LHX1;WNT5A;DDIT4;ASCL1"
"61","Cardiac Muscle Contraction (GO:0060048)","4/33",0.00176332356922118,0.0577346265406289,0,0,8.66101134736146,54.9156175832247,"CASQ2;DMD;SLC8A1;TTN"
"62","Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414)","4/33",0.00176332356922118,0.0577346265406289,0,0,8.66101134736146,54.9156175832247,"CCL2;GLRX;DMD;ANK3"
"63","Negative Regulation Of Amyloid-Beta Formation (GO:1902430)","3/16",0.00189511262886424,0.0610647402634034,0,0,14.4561489465948,90.6180372881042,"NTRK2;PRNP;CLU"
"64","Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070884)","4/34",0.00197377849370269,0.0626057865971321,0,0,8.37188498402556,52.1384718191345,"PRNP;RCAN1;FHL2;LMCD1"
"65","Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)","12/284",0.00201646790236907,0.0629758437201417,0,0,2.80776277724204,17.4261209732666,"ZAP70;NTRK2;SHC2;ANGPT1;DOK5;MVP;DDIT4;FGF18;ALKAL2;VEGFD;EFNA5;EPHB1"
"66","Endoderm Formation (GO:0001706)","4/35",0.0022009816370051,0.0665623226684147,0,0,8.10141193445326,49.5713391556175,"DUSP1;LHX1;LAMB1;SOX7"
"67","Renal System Development (GO:0072001)","5/58",0.00223442896501502,0.0665623226684147,0,0,5.93553459119497,36.2291354799548,"TFAP2B;TGFB2;SALL1;LHX1;HAS2"
"68","Negative Regulation Of Cell Cycle (GO:0045786)","6/85",0.00231643543580156,0.0665623226684147,0,0,4.78749643860149,29.0492152985576,"CDKN1C;NPPC;CDK6;DUSP1;GAS1;RHOB"
"69","Positive Regulation Of Endothelial Cell Migration (GO:0010595)","6/85",0.00231643543580156,0.0665623226684147,0,0,4.78749643860149,29.0492152985576,"ANGPT1;ANXA3;WNT5A;FGF18;THBS1;RHOB"
"70","Positive Regulation Of Protein Localization (GO:1903829)","6/85",0.00231643543580156,0.0665623226684147,0,0,4.78749643860149,29.0492152985576,"PRKAA2;DTX3L;WNT5A;CDK1;VRK1;CORO2B"
"71","Cellular Response To Chemokine (GO:1990869)","5/59",0.00241018654803936,0.0665623226684147,0,0,5.82532051282051,35.1153298920545,"CXCL10;DUSP1;CCL2;CXCL1;CXCL2"
"72","Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","5/59",0.00241018654803936,0.0665623226684147,0,0,5.82532051282051,35.1153298920545,"NUF2;CDK1;TTK;KIF11;DLGAP5"
"73","Negative Regulation Of Meiotic Cell Cycle (GO:0051447)","2/5",0.00242640979185354,0.0665623226684147,0,0,41.6507936507937,250.793696719293,"NPPC;DUSP1"
"74","Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:1902043)","2/5",0.00242640979185354,0.0665623226684147,0,0,41.6507936507937,250.793696719293,"PMAIP1;THBS1"
