"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Collagen-Containing Extracellular Matrix (GO:0062023)","25/373",1.51908032384228e-09,2.84068020558506e-07,0,0,4.75687883797827,96.5891894035371,"LAMA2;HTRA1;AEBP1;NID1;CLU;LTBP1;NID2;FBLN2;THBS1;A2M;CTSB;GDF10;TGFB2;DST;ANGPT1;WNT5A;LAMB1;MMP23B;COL5A3;MGP;COL21A1;MXRA5;MATN3;FBN1;CBLN1"
"2","Axon (GO:0030424)","14/205",5.29155224229115e-06,0.000494760134654222,0,0,4.71529037720526,57.2879438426693,"ROBO3;SYT4;CNTNAP2;NTRK2;TGFB2;PRKAA2;SYT1;ATP1A3;SLC8A1;UNC80;NEFL;CNTN2;NEFM;VIM"
"3","Spindle (GO:0005819)","13/210",3.24470395370502e-05,0.0020225321311428,0,0,4.22986240983169,43.7194405942081,"SPAG5;CKAP2L;CKAP2;KIF23;TTK;CDC6;KIF11;HSPA2;SKA3;CDC20;CDK1;CALM2;DLGAP5"
"4","Endoplasmic Reticulum Lumen (GO:0005788)","15/284",5.17518080215218e-05,0.00241939702500614,0,0,3.58465250252345,35.3771190415183,"WNT5A;LAMB1;CP;PRSS23;LTBP1;THBS1;TRDN;RCAN1;COL5A3;CASQ2;SPARCL1;TSPO;COL21A1;MATN3;FBN1"
"5","Basement Membrane (GO:0005604)","6/46",8.30557043691623e-05,0.00310628334340667,0,0,9.47411575562701,89.0187825286287,"LAMA2;DST;LAMB1;NID1;NID2;FBN1"
"6","Sarcolemma (GO:0042383)","6/52",0.00016669838730015,0.00519543307085467,0,0,8.23584509995806,71.6462885828619,"SYNM;AHNAK2;DMD;ANK3;SLC8A1;VCL"
"7","Mitotic Spindle (GO:0072686)","9/143",0.00046932357255363,0.0115585715678041,0,0,4.26296278348517,32.672276555705,"SPAG5;CKAP2L;CDK1;CKAP2;KIF23;CDC6;KIF11;SKA3;DLGAP5"
"8","Platelet Alpha Granule (GO:0031091)","7/89",0.000533595418799416,0.0115585715678041,0,0,5.39760031471282,40.6756285811121,"ISLR;TGFB2;CD9;VEGFD;A2M;CLU;THBS1"
"9","Cytoskeleton (GO:0005856)","21/599",0.000617470131116935,0.0115585715678041,0,0,2.34502127560086,17.3294254988661,"SYNM;GAS2L3;DST;CKAP2L;MVP;IFIT5;CKAP2;SORBS2;ANK3;CLU;CORO2B;NUAK1;TUBA1B;KRT17;SNTG1;TAGLN2;NEFM;FLNB;TNIK;VIM;VCL"
"10","Platelet Alpha Granule Lumen (GO:0031093)","6/66",0.000618105431433374,0.0115585715678041,0,0,6.3096463022508,46.6210396333948,"ISLR;TGFB2;VEGFD;A2M;CLU;THBS1"
"11","Intermediate Filament (GO:0005882)","6/69",0.000783840521203052,0.0133252888604519,0,0,6.00826825907212,42.9669586930705,"SYNM;DST;KRT17;NEFL;NEFM;VIM"
"12","Neuron Projection (GO:0043005)","19/557",0.00152340728234011,0.0221310880527161,0,0,2.26887427958384,14.7177468810098,"ROBO3;PRNP;SYT4;CNTNAP2;NTRK2;TGFB2;PRKAA2;SYT1;ATP1A3;ADCY2;SORBS2;ANK3;SLC8A1;UNC80;NEFL;CNTN2;NEFM;VIM;EPHB1"
"13","Membrane Raft (GO:0045121)","9/169",0.00153852483788935,0.0221310880527161,0,0,3.56548295454545,23.093387859493,"PRNP;ZAP70;ANGPT1;CAVIN1;MYL1;EMP2;ADCY2;DMD;IL6ST"
