"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Vinculin Binding (GO:0017166)","3/10",0.000435780962039181,0.0770923506481107,0,0,26.8553230209281,207.816448066967,"SYNM;DMD;CORO2B"
"2","Calcium Ion Binding (GO:0005509)","15/346",0.000445620523977519,0.0770923506481107,0,0,2.90390348332366,22.4066435969658,"SYT4;SYT1;ANXA3;CLU;THBS1;SLC8A1;TTN;RCAN1;S100A16;S100A13;CASQ2;SLIT1;SPARCL1;CALM2;FBN1"
"3","Cell Adhesion Mediator Activity (GO:0098631)","4/28",0.000938901489388214,0.108286638442774,0,0,10.4680511182109,72.9706906760897,"ROBO3;CNTN2;CD47;LRRC4C"
"4","High-Density Lipoprotein Particle Binding (GO:0008035)","2/5",0.00242640979185354,0.139922964663554,0,0,41.6507936507937,250.793696719293,"PLTP;APOL2"
"5","Acetylcholine Receptor Inhibitor Activity (GO:0030550)","2/5",0.00242640979185354,0.139922964663554,0,0,41.6507936507937,250.793696719293,"LYPD1;LY6E"
"6","Chromo Shadow Domain Binding (GO:0070087)","2/5",0.00242640979185354,0.139922964663554,0,0,41.6507936507937,250.793696719293,"SP100;CHAF1A"
"7","R-SMAD Binding (GO:0070412)","3/19",0.00316595249128915,0.15648850885515,0,0,11.7438296178344,67.5892781430191,"RGCC;PMEPA1;PAX6"
"8","Fibroblast Growth Factor Binding (GO:0017134)","3/20",0.0036813299938514,0.159217522234073,0,0,11.0524541026602,61.9432710191525,"S100A13;THBS1;FGFRL1"
"9","Cell-Cell Adhesion Mediator Activity (GO:0098632)","4/43",0.00469857991117782,0.180634294363058,0,0,6.43696239862374,34.5053045114925,"ROBO3;CNTN2;CD47;LRRC4C"
"10","Lipoprotein Particle Binding (GO:0071813)","3/23",0.00552205525477859,0.18553557616553,0,0,9.39315286624204,48.8350502129913,"THBS1;PLTP;APOL2"
"11","Chemokine Activity (GO:0008009)","4/46",0.00598715680573312,0.18553557616553,0,0,5.97626654495664,30.5873607048434,"CXCL10;CCL2;CXCL1;CXCL2"
"12","Kinase Binding (GO:0019900)","15/460",0.00693090421024505,0.18553557616553,0,0,2.1472579805045,10.6756620661916,"SP100;MVP;UNC5C;PAX6;EMP2;VRK1;CDC6;KIF11;NR3C1;HDAC9;TTN;ACTA2;RGCC;CALM2;SQSTM1"
"13","Cytokine Activity (GO:0005125)","8/178",0.00763621096294009,0.18553557616553,0,0,2.9717114030078,14.4866584652372,"GDF10;CXCL10;TGFB2;WNT5A;CCL2;CXCL1;ALKAL2;CXCL2"
"14","Protein Kinase Binding (GO:0019901)","16/511",0.00781920374166388,0.18553557616553,0,0,2.06052552099064,9.99596485203313,"DUSP1;MVP;UNC5C;PAX6;EMP2;VRK1;KIF11;NR3C1;HDAC9;TTN;ACTA2;RGCC;MARVELD3;DACT2;CALM2;SQSTM1"
"15","Chemokine Receptor Binding (GO:0042379)","4/50",0.00804344983376574,0.18553557616553,0,0,5.45547992776775,26.3112188902166,"CXCL10;CCL2;CXCL1;CXCL2"
"16","Actin Binding (GO:0003779)","8/183",0.00895155298392165,0.18943428214461,0,0,2.8860656495608,13.6104785107766,"GAS2L3;TNNT3;CXCR4;TNNI2;DMD;FLNB;CORO2B;VCL"
"17","Metal Ion Binding (GO:0046872)","16/521",0.00930746472964848,0.18943428214461,0,0,2.01867043847242,9.44119757664068,"SYT4;SYT1;ANXA3;ADCY2;CLU;THBS1;SLC8A1;TTN;RCAN1;S100A16;S100A13;CASQ2;SLIT1;SPARCL1;CALM2;FBN1"
"18","Protein Tyrosine Kinase Activator Activity (GO:0030296)","3/29",0.0106249418583469,0.204234993499335,0,0,7.22329740323371,32.8266436996738,"ALKAL2;EFNA5;IL6ST"
"19","Receptor Ligand Activity (GO:0048018)","11/319",0.0132699655008509,0.234058107839909,0,0,2.26132119514472,9.7740001271609,"GDF10;NPPC;CXCL10;GREM2;TGFB2;WNT5A;FGF18;ALKAL2;FLNB;VEGFD;CXCL1"
"20","Receptor Tyrosine Kinase Binding (GO:0030971)","4/59",0.0142340564562184,0.234058107839909,0,0,4.56067383096137,19.3925225764722,"SHC2;ANGPT1;ALKAL2;SQSTM1"
"21","Titin Binding (GO:0031432)","2/12",0.0148823074349075,0.234058107839909,0,0,12.4907936507937,52.556040929638,"ANKRD1;CALM2"
"22","Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)","2/12",0.0148823074349075,0.234058107839909,0,0,12.4907936507937,52.556040929638,"ALKAL2;EFNA5"
"23","Kinase Inhibitor Activity (GO:0019210)","3/34",0.0164208052217995,0.247026026380114,0,0,6.05670844462708,24.8882635111282,"CDKN1C;SPRY4;CDK1"
"24","Protein Kinase C Binding (GO:0005080)","3/36",0.0191455859125152,0.267440868374131,0,0,5.68905616676317,22.5041032802067,"DACT2;HDAC9;SQSTM1"
"25","MAP Kinase Phosphatase Activity (GO:0033549)","2/14",0.0200967126523913,0.267440868374131,0,0,10.4079365079365,40.6658793961075,"DUSP26;DUSP6"
"26","Acetylcholine Receptor Regulator Activity (GO:0030548)","2/14",0.0200967126523913,0.267440868374131,0,0,10.4079365079365,40.6658793961075,"LYPD1;LY6E"
"27","CXCR Chemokine Receptor Binding (GO:0045236)","2/16",0.0259565182689601,0.320748404323579,0,0,8.92018140589569,32.5705484089217,"CXCL10;CXCL2"
"28","Low-Density Lipoprotein Particle Binding (GO:0030169)","2/16",0.0259565182689601,0.320748404323579,0,0,8.92018140589569,32.5705484089217,"THBS1;PLTP"
"29","Neuropeptide Receptor Binding (GO:0071855)","2/17",0.0291141437291498,0.33916243741593,0,0,8.32507936507936,29.4419027845515,"NPY;NMU"
"30","RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)","8/228",0.0294071477528263,0.33916243741593,0,0,2.29043836422477,8.07727100466941,"NFKBIA;DTX3L;ID2;HAND2;ANKRD1;DUSP26;PITX1;HDAC9"
"31","Double-Stranded DNA Binding (GO:0003690)","17/650",0.030705375228441,0.342711607388406,0,0,1.70537124802528,5.94034959894599,"OSR2;TFAP2B;IFIT5;PAX3;PAX6;ASCL1;NR3C1;SOX3;KLF6;LHX1;HAND2;RBMS1;NLRP1;SOX7;PITX1;ATF3;NEUROG2"
"32","Cholesterol Transfer Activity (GO:0120020)","2/18",0.0324162357436513,0.35050054897823,0,0,7.80436507936508,26.7619161279212,"TSPO;PLTP"
"33","Sterol Transfer Activity (GO:0120015)","2/19",0.0358574523789918,0.359044052436636,0,0,7.34491129785247,24.4453621098034,"TSPO;PLTP"
"34","Amyloid-Beta Binding (GO:0001540)","4/79",0.0368449554689769,0.359044052436636,0,0,3.34108626198083,11.0290479121657,"PRNP;TGFB2;ATP1A3;CLU"
"35","Calcium-Dependent Phospholipid Binding (GO:0005544)","3/47",0.0383192595374545,0.359044052436636,0,0,4.26440359004053,13.9096429272586,"SYT4;SYT1;ANXA3"
"36","Actinin Binding (GO:0042805)","2/20",0.0394325837936189,0.359044052436636,0,0,6.93650793650794,22.4268594542422,"CSRP1;TTN"
"37","Phosphatidic Acid Binding (GO:0070300)","2/20",0.0394325837936189,0.359044052436636,0,0,6.93650793650794,22.4268594542422,"SMPD3;PLTP"
"38","Solute:Proton Symporter Activity (GO:0015295)","2/20",0.0394325837936189,0.359044052436636,0,0,6.93650793650794,22.4268594542422,"SLC15A3;SLC16A3"
"39","Ubiquitin-Like Protein Ligase Binding (GO:0044389)","9/289",0.0415667900381961,0.359496055250292,0,0,2.02489564007421,6.44008692561353,"NFKBIA;TUBA1B;DTX3L;UBE2T;CXCR4;CLU;SQSTM1;VCL;NKD2"
"40","Transforming Growth Factor Beta Binding (GO:0050431)","2/21",0.0431365494347161,0.359496055250292,0,0,6.57109440267335,20.6554771246908,"LTBP1;THBS1"
"41","Protein Tyrosine Kinase Binding (GO:1990782)","4/85",0.0461858878428697,0.359496055250292,0,0,3.0926517571885,9.51015461331207,"SHC2;ANGPT1;ALKAL2;SQSTM1"
"42","Protein Serine/Threonine Kinase Activity (GO:0004674)","10/342",0.0468669367312516,0.359496055250292,0,0,1.89857148463561,5.81046947958867,"NUAK1;CDK6;PRKAA2;CDK1;NEK2;VRK1;TTK;TNIK;SQSTM1;TTN"
"43","Low-Density Lipoprotein Particle Receptor Binding (GO:0050750)","2/22",0.0469643952742486,0.359496055250292,0,0,6.24222222222222,19.0909971608897,"SYT1;CLU"
"44","poly(U) RNA Binding (GO:0008266)","2/22",0.0469643952742486,0.359496055250292,0,0,6.24222222222222,19.0909971608897,"IFIT5;RBMS1"
"45","E-box Binding (GO:0070888)","3/51",0.0470179370064914,0.359496055250292,0,0,3.90824044585987,11.9483747416563,"HAND2;ASCL1;NEUROG2"
"46","K63-linked Polyubiquitin Modification-Dependent Protein Binding (GO:0070530)","2/23",0.0509112910614575,0.359496055250292,0,0,5.94467120181406,17.7012723772196,"SQSTM1;OPTN"
"47","Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138)","2/23",0.0509112910614575,0.359496055250292,0,0,5.94467120181406,17.7012723772196,"DUSP26;DUSP6"
"48","Cyclin-Dependent Protein Kinase Activity (GO:0097472)","2/23",0.0509112910614575,0.359496055250292,0,0,5.94467120181406,17.7012723772196,"CDK6;CDK1"
"49","Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0004693)","2/23",0.0509112910614575,0.359496055250292,0,0,5.94467120181406,17.7012723772196,"CDK6;CDK1"
"50","Myosin Binding (GO:0017022)","3/54",0.05412286238817,0.374530207726136,0,0,3.6777819408018,10.726245835196,"CXCR4;DMD;NKD2"
"51","Poly-Pyrimidine Tract Binding (GO:0008187)","2/25",0.0591435146386146,0.380929805725728,0,0,5.4271911663216,15.3469478838569,"IFIT5;RBMS1"
"52","Protein Serine/Threonine/Tyrosine Kinase Activity (GO:0004712)","2/26",0.063419777287437,0.380929805725728,0,0,5.20079365079365,14.3436823848873,"PRKAA2;TTK"
"53","Ubiquitin Protein Ligase Binding (GO:0031625)","8/271",0.067777005013819,0.380929805725728,0,0,1.91172308563131,5.14546443487775,"NFKBIA;TUBA1B;UBE2T;CXCR4;CLU;SQSTM1;VCL;NKD2"
