"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Response to anti-retroviral therapy (ddI/d4T) in HIV-1 (Grade 3 peripheral neuropathy)","3/12",0.000780334291791132,0.262096591692512,0,0,20.8853503184713,149.451142335792,"LRIG1;NEFL;HDAC9"
"2","Spherical equivalent or myopia (age of diagnosis)","10/191",0.000975527777180457,0.262096591692512,0,0,3.50963701477496,24.3306706448005,"TFAP2B;CYP26A1;LINC00461;LAMA2;GRIK1;CA8;LRRC4C;CLU;NPAS3;FBN1"
"3","Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)","6/79",0.00159307191394909,0.262096591692512,0,0,5.18257499008942,33.3866202464706,"PRNP;TGFB2;CDK6;HOXC5;NFE2L3;LTBP1"
"4","Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)","7/112",0.00206137812874746,0.262096591692512,0,0,4.21032258064516,26.0382369730576,"INPP4B;FABP3;TNNT3;EBF2;TNNI2;SLC15A3;SOX7"
"5","Heel bone mineral density","26/898",0.00236399004190962,0.262096591692512,0,0,1.9274173208487,11.6558719710038,"PRSS23;FGFRL1;SLC8A1;MIR4435-2HG;SALL1;SGCA;PALMD;FRZB;CARMN;WLS;TGFB2;DST;EBF1;EMP2;ANK3;PLXDC2;CYP26A1;DAB2;KLF6;CDK6;RGCC;RHOJ;ADAM12;MGP;GAS1;COL21A1"
"6","Body mass index","33/1246",0.00270224538911174,0.262096591692512,0,0,1.76930088361994,10.463065494872,"LINC00461;CNTNAP2;LAMA2;PRDM6;IFI6;NRXN3;CXCR4;GRIK1;REG3G;EFNA5;NID2;FBLN2;PCDH17;NPAS3;PMAIP1;DMD;SYT4;TFAP2B;NTRK2;CKM;DCC;PAX6;TMEM173;DUSP26;BACE2;FABP3;MMP23B;LHX1;NFE2L3;PTX3;CD47;NEUROG2;CBLN1"
"7","Temporomandibular joint disorder","2/6",0.00360155059380984,0.262096591692512,0,0,31.2365079365079,175.74880105773,"SGCA;DMD"
"8","Systolic blood pressure","20/657",0.00426615902858591,0.262096591692512,0,0,2.01343629915058,10.9874052034352,"SYT4;SYT1;PRDM6;EBF1;HTRA1;EBF2;ARHGAP29;PAX6;ZFHX4;CORO2B;HDAC9;NFKBIA;CDK6;SNTG1;TNNT3;LRIG1;RBMS1;PDE5A;OCIAD2;FBN1"
"9","Waist circumference adjusted for BMI in non-smokers","5/69",0.00476012634644141,0.262096591692512,0,0,4.91261017628205,26.270089910762,"TGFB2;CDK6;HOXC5;NFE2L3;LTBP1"
"10","Myopia","5/70",0.0050612073117833,0.262096591692512,0,0,4.83678500986193,25.5679721680439,"TFAP2B;LAMA2;NUF2;CA8;LRRC4C"
"11","Asthma","9/204",0.00539339922361905,0.262096591692512,0,0,2.92027972027972,15.2513928235742,"EGFLAM;ID2;CELF2;NUF2;SPRY4;IFI44;A4GALT;IGFN1;SLC8A1"
"12","Small cell lung carcinoma","5/74",0.0064010318751108,0.262096591692512,0,0,4.55546265328874,23.0109906027218,"NRP1;DST;COL21A1;EPHB1;IER3"
"13","Migraine","5/74",0.0064010318751108,0.262096591692512,0,0,4.55546265328874,23.0109906027218,"NRP1;RNF213;HJURP;HTRA1;NLRP1"
"14","Autism spectrum disorder, ADHD, bipolar disorder, MDD, and schizophrenia (combined)","4/47",0.00646394223619861,0.262096591692512,0,0,5.83698640315031,29.427259724748,"PPP2R2B;IFI44;GRIK1;ANK3"
"15","Uterine fibroid size (maximum volume)","2/8",0.00658327388866593,0.262096591692512,0,0,20.8222222222222,104.594667783135,"CNTNAP2;SORBS2"
"16","Mean arterial pressure (alcohol consumption interaction)","2/8",0.00658327388866593,0.262096591692512,0,0,20.8222222222222,104.594667783135,"SLIT1;ADCY2"
"17","Monobrow","5/76",0.0071564253088826,0.262669780477243,0,0,4.42668833513904,21.8667101589065,"FOXD1;PAX3;NAV2;HDAC9;ZFHX4"
"18","Nasopharyngeal carcinoma (SNP x SNP interaction)","5/77",0.00755651874530136,0.262669780477243,0,0,4.36498397435897,21.324451229875,"CNTNAP2;NTRK2;DUSP1;ADAM12;GRIK1"
"19","Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)","6/109",0.00783473442553787,0.262669780477243,0,0,3.66746792370368,17.7842425450006,"INPP4B;FABP3;TNNT3;EBF2;TNNI2;SOX7"
"20","Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)","2/9",0.00837602662328674,0.264000708344039,0,0,17.8467120181406,85.3497876561054,"LRIG1;FLNB"
"21","Waist circumference adjusted for BMI (adjusted for smoking behaviour)","5/81",0.00931284612055014,0.264000708344039,0,0,4.13440452091768,19.3339661111319,"TGFB2;CDK6;HOXC5;NFE2L3;LTBP1"
