"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Axon guidance","12/181",3.33699552296913e-05,0.00720791032961332,0,0,4.54298186051023,46.8283964996299,"NRP1;ROBO3;UNC5B;DCC;WNT5A;SLIT1;CXCR4;UNC5C;SLIT3;EFNA5;LRRC4C;EPHB1"
"2","Hypertrophic cardiomyopathy (HCM)","7/85",0.000403358803138113,0.0424201994628386,0,0,5.67555831265509,44.3583706458025,"TGFB2;PRKAA2;SGCA;LAMA2;DMD;SLC8A1;TTN"
"3","Dilated cardiomyopathy (DCM)","7/91",0.000610196451816564,0.0424201994628386,0,0,5.26854838709677,38.9963705483684,"TGFB2;SGCA;LAMA2;ADCY2;DMD;SLC8A1;TTN"
"4","Cell cycle","8/124",0.000818256988370544,0.0424201994628386,0,0,4.36714652382547,31.0431365724273,"CDC20;CDKN1C;TGFB2;CDK6;CDC45;CDK1;TTK;CDC6"
"5","p53 signaling pathway","6/72",0.000981949061639782,0.0424201994628386,0,0,5.73428821981877,39.7155146214953,"CDK6;SESN3;PERP;CDK1;PMAIP1;THBS1"
"6","PI3K-Akt signaling pathway","14/354",0.00164416488614999,0.0591899359013997,0,0,2.62863521646282,16.8509257032466,"NTRK2;PRKAA2;LAMA2;ANGPT1;LPAR1;VEGFD;LAMB1;EFNA5;GNG11;THBS1;CDK6;PPP2R2B;DDIT4;FGF18"
"7","Chemokine signaling pathway","9/190",0.00339570064506106,0.104781619904741,0,0,3.14841788046208,17.8995275281839,"NFKBIA;CXCL10;SHC2;CXCR4;CCL2;CXCL1;ADCY2;GNG11;CXCL2"
"8","Alcoholism","8/180",0.00814358506187842,0.199388077637294,0,0,2.93685557311658,14.1278164822526,"NTRK2;SHC2;NPY;HIST1H3B;GNG11;CALM2;HDAC9;HIST2H2AC"
"9","Kaposi sarcoma-associated herpesvirus infection","8/186",0.00981797951700816,0.199388077637294,0,0,2.83698774590015,13.1169261230056,"NFKBIA;RCAN1;CDK6;CXCL1;IL6ST;GNG11;CALM2;CXCL2"
"10","Human cytomegalovirus infection","9/225",0.00996388173624625,0.199388077637294,0,0,2.63352272727273,12.1373493936123,"NFKBIA;CDK6;CXCR4;CCL2;ADCY2;TMEM173;GNG11;CALM2;TAPBP"
"11","Pathways in cancer","16/530",0.0108322069840347,0.199388077637294,0,0,1.98239331928591,8.97078860347333,"TGFB2;LAMA2;DCC;WNT5A;LPAR1;CXCR4;ADCY2;VEGFD;LAMB1;GNG11;NFKBIA;CDK6;FGF18;PMAIP1;IL6ST;CALM2"
"12","Legionellosis","4/55",0.0112021668718849,0.199388077637294,0,0,4.91937605713212,22.0961058677904,"NFKBIA;CXCL1;HSPA2;CXCL2"
