"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARX",1.15495491745266e-94,-0.0395157328119387,0.364,0.831,2.30990983490533e-91
"NCAN",8.32858757536537e-93,0.0101460521013904,0.499,0.935,1.66571751507307e-89
"ANKRD1",1.69995222248338e-88,-0.018331302165493,0.287,0.836,3.39990444496676e-85
"ICAM1",1.04780993811149e-87,0.0154795304056583,0.269,0.821,2.09561987622298e-84
"SYTL2",1.36500076569775e-87,0.0144815463474036,0.543,0.983,2.73000153139551e-84
"PHOX2B",2.49746522132995e-85,0.0455239817356767,0.525,0.999,4.9949304426599e-82
"KCNJ6",5.25369565679888e-84,0.0359816388694234,0.532,0.998,1.05073913135978e-80
"SOX9",5.81161603223884e-83,0.0192345719472213,0.437,0.952,1.16232320644777e-79
"NTRK3",4.2812262227082e-79,-0.0117602681322554,0.49,0.962,8.5624524454164e-76
"GDPD2",2.3588683006434e-72,-0.026765517287239,0.438,0.868,4.7177366012868e-69
"PTF1A",2.27080595559441e-71,0.0248562020219815,0.502,0.937,4.54161191118881e-68
"MMP11",2.34617429341048e-71,-0.0203068965781213,0.416,0.867,4.69234858682096e-68
"OPRK1",1.16720742671767e-70,0.016592211550178,0.488,0.923,2.33441485343533e-67
"HAND1",7.33717108522333e-69,-0.0194573829250385,0.227,0.308,1.46743421704467e-65
"GDF3",1.13490242087027e-68,0.0282983619342567,0.402,0.883,2.26980484174054e-65
"CSRP1",1.28382329059918e-67,0.0280518370688422,0.43,0.935,2.56764658119835e-64
"PDGFA",3.43751426971557e-67,-0.0111680172906776,0.121,0.669,6.87502853943114e-64
"SCN9A",1.92807529271165e-66,0.0187617536253726,0.369,0.808,3.85615058542331e-63
"C7",1.43452073762933e-65,-0.0195593698719698,0.323,0.842,2.86904147525867e-62
"PDLIM3",5.56315831323652e-65,0.0349053194465022,0.492,0.934,1.1126316626473e-61
"TFPI",7.43000357354409e-64,-0.0139271341309163,0.279,0.78,1.48600071470882e-60
"EDN3",1.84821553060415e-62,0.0102342133346678,0.205,0.766,3.69643106120829e-59
"PHF11",1.5317705257438e-61,0.0111868227525045,0.365,0.863,3.0635410514876e-58
"ONECUT1",2.54254349777406e-61,-0.0153365370307702,0.347,0.35,5.08508699554811e-58
"PLP1",8.12221780025693e-61,0.0265561085536748,0.52,0.94,1.62444356005139e-57
"DOK5",8.26900804095477e-61,0.050917292659433,0.516,0.937,1.65380160819095e-57
"ARSJ",1.55847431804977e-59,0.0127053181147312,0.216,0.788,3.11694863609953e-56
"OLFM2",4.27255042879861e-58,0.0259029319131721,0.237,0.778,8.54510085759722e-55
"GDAP1L1",5.8100020827963e-58,-0.0304721388473818,0.494,0.923,1.16200041655926e-54
"BARX2",6.08317090216163e-57,0.0103306876178235,0.107,0.47,1.21663418043233e-53
"GLIS3",1.9250216750314e-56,-0.0230605222643129,0.265,0.748,3.85004335006281e-53
"PALMD",3.01763361351792e-56,0.0434470678946301,0.281,0.763,6.03526722703583e-53
"RPP25",5.62196771680398e-56,-0.0261520073349331,0.253,0.297,1.1243935433608e-52
"GLIPR1",1.55870986742854e-55,-0.0151367837800772,0.425,0.856,3.11741973485708e-52
"EPSTI1",1.21229059642581e-54,0.0240665420562454,0.244,0.72,2.42458119285162e-51
"TGFB1I1",2.58479293961535e-53,0.0317411232739574,0.316,0.822,5.1695858792307e-50
"OSMR",4.7548778575953e-53,0.0157204969165491,0.218,0.722,9.5097557151906e-50
"ELMOD1",5.5531293167082e-53,-0.0104615132414898,0.251,0.722,1.11062586334164e-49
"FAM107A",1.48055176080112e-51,0.0198405605858489,0.403,0.803,2.96110352160225e-48
"CYTOR",7.5328749246279e-51,0.038344833843901,0.357,0.86,1.50657498492558e-47
"OPTN",2.00695463912147e-50,-0.0180605063623064,0.43,0.836,4.01390927824295e-47
"FGF19",1.32378833105077e-49,0.0186872203667926,0.452,0.839,2.64757666210154e-46
"CA4",3.87273602035126e-49,-0.0608957067036184,0.361,0.785,7.74547204070251e-46
"FAM181B",3.83394713456793e-48,0.0103883735938664,0.432,0.816,7.66789426913587e-45
"ADGRA2",4.10024849360432e-48,-0.021049356474853,0.194,0.708,8.20049698720863e-45
"PARP14",4.38580303974085e-48,0.0320165000542824,0.325,0.805,8.7716060794817e-45
"IL13RA2",4.93127192878424e-48,0.0370179144674421,0.541,0.974,9.86254385756848e-45
"DHRS3",5.17451392509418e-48,0.0115544869402798,0.377,0.783,1.03490278501884e-44
"KREMEN2",5.19323046138048e-48,-0.0133430986678449,0.34,0.808,1.0386460922761e-44
"MYOT",7.25392839979113e-48,-0.0157353253795526,0.184,0.718,1.45078567995823e-44
"SLC38A11",8.77449289506823e-48,-0.0200967120632087,0.21,0.322,1.75489857901365e-44
"HAND2",1.93381714421669e-47,-0.0261699651809653,0.191,0.325,3.86763428843338e-44
"IGFBPL1",1.49192862012878e-46,-0.0247950590486812,0.554,0.96,2.98385724025757e-43
"FAM198B",3.44600845061844e-46,-0.0192375664121894,0.313,0.737,6.89201690123688e-43
"MMP14",5.24897904570646e-46,-0.0190219353579434,0.258,0.774,1.04979580914129e-42
"SLC8A1",7.68937151408537e-46,-0.0201249873285885,0.226,0.702,1.53787430281707e-42
"LMCD1",5.35641785635292e-45,0.0262486842160204,0.517,0.895,1.07128357127058e-41
"CCNE2",8.73869972931318e-45,-0.0262628811792612,0.423,0.807,1.74773994586263e-41
